"date","location","noga_abschnitt_long","noga_abschnitt_letter","value","variable_short","variable_long"
2017-01-31,"BS","GASTGEWERBE/BEHERBERGUNG UND GASTRONOMIE","I",1,"konk_eroeff_nogaI","Anzahl Eröffnungen erstmaliger Konkursverfahren in NOGA-Abschnitt GASTGEWERBE/BEHERBERGUNG UND GASTRONOMIE, (exkl. Verfahren nach Art. 731b OR)"
2017-01-31,"SZ","ERBRINGUNG VON SONSTIGEN WIRTSCHAFTLICHEN DIENSTLEISTUNGEN","N",1,"konk_eroeff_nogaN","Anzahl Eröffnungen erstmaliger Konkursverfahren in NOGA-Abschnitt ERBRINGUNG VON SONSTIGEN WIRTSCHAFTLICHEN DIENSTLEISTUNGEN, (exkl. Verfahren nach Art. 731b OR)"
2017-01-31,"TI","GASTGEWERBE/BEHERBERGUNG UND GASTRONOMIE","I",1,"konk_eroeff_nogaI","Anzahl Eröffnungen erstmaliger Konkursverfahren in NOGA-Abschnitt GASTGEWERBE/BEHERBERGUNG UND GASTRONOMIE, (exkl. Verfahren nach Art. 731b OR)"
2017-02-01,"BE","ERBRINGUNG VON SONSTIGEN WIRTSCHAFTLICHEN DIENSTLEISTUNGEN","N",1,"konk_eroeff_nogaN","Anzahl Eröffnungen erstmaliger Konkursverfahren in NOGA-Abschnitt ERBRINGUNG VON SONSTIGEN WIRTSCHAFTLICHEN DIENSTLEISTUNGEN, (exkl. Verfahren nach Art. 731b OR)"
2017-02-01,"LU","GASTGEWERBE/BEHERBERGUNG UND GASTRONOMIE","I",1,"konk_eroeff_nogaI","Anzahl Eröffnungen erstmaliger Konkursverfahren in NOGA-Abschnitt GASTGEWERBE/BEHERBERGUNG UND GASTRONOMIE, (exkl. Verfahren nach Art. 731b OR)"
2017-02-01,"VS","ERBRINGUNG VON SONSTIGEN WIRTSCHAFTLICHEN DIENSTLEISTUNGEN","N",1,"konk_eroeff_nogaN","Anzahl Eröffnungen erstmaliger Konkursverfahren in NOGA-Abschnitt ERBRINGUNG VON SONSTIGEN WIRTSCHAFTLICHEN DIENSTLEISTUNGEN, (exkl. Verfahren nach Art. 731b OR)"
2017-02-01,"ZH","GASTGEWERBE/BEHERBERGUNG UND GASTRONOMIE","I",1,"konk_eroeff_nogaI","Anzahl Eröffnungen erstmaliger Konkursverfahren in NOGA-Abschnitt GASTGEWERBE/BEHERBERGUNG UND GASTRONOMIE, (exkl. Verfahren nach Art. 731b OR)"
2017-02-02,"AG","VERKEHR UND LAGEREI","H",1,"konk_eroeff_nogaH","Anzahl Eröffnungen erstmaliger Konkursverfahren in NOGA-Abschnitt VERKEHR UND LAGEREI, (exkl. Verfahren nach Art. 731b OR)"
2017-02-02,"ZH","ERBRINGUNG VON SONSTIGEN WIRTSCHAFTLICHEN DIENSTLEISTUNGEN","N",1,"konk_eroeff_nogaN","Anzahl Eröffnungen erstmaliger Konkursverfahren in NOGA-Abschnitt ERBRINGUNG VON SONSTIGEN WIRTSCHAFTLICHEN DIENSTLEISTUNGEN, (exkl. Verfahren nach Art. 731b OR)"
2017-02-02,"ZH","GASTGEWERBE/BEHERBERGUNG UND GASTRONOMIE","I",2,"konk_eroeff_nogaI","Anzahl Eröffnungen erstmaliger Konkursverfahren in NOGA-Abschnitt GASTGEWERBE/BEHERBERGUNG UND GASTRONOMIE, (exkl. Verfahren nach Art. 731b OR)"
